? Hugging Face token is set.
wandb token is set
This is the LORA Path : /hkfs/work/workspace/scratch/st_st191428-LiverLLM/Liver LLM/llama3_medical_finetuned/checkpoint_7000
{'loss': 0.5682, 'grad_norm': 0.0, 'learning_rate': 0.00019273780901300785, 'num_tokens': 4833280.0, 'mean_token_accuracy': 0.19559756591916083, 'epoch': 0.11}
{'loss': 0.562, 'grad_norm': 0.0, 'learning_rate': 0.0001926145120522779, 'num_tokens': 4915200.0, 'mean_token_accuracy': 0.17815838679671286, 'epoch': 0.11}
{'loss': 0.5935, 'grad_norm': 0.0, 'learning_rate': 0.000192491215091548, 'num_tokens': 4997120.0, 'mean_token_accuracy': 0.18561567850410937, 'epoch': 0.11}
{'loss': 0.5922, 'grad_norm': 0.0, 'learning_rate': 0.0001923679181308181, 'num_tokens': 5079040.0, 'mean_token_accuracy': 0.18133687414228916, 'epoch': 0.11}
{'loss': 0.6584, 'grad_norm': 0.0, 'learning_rate': 0.00019224462117008816, 'num_tokens': 5160960.0, 'mean_token_accuracy': 0.20951162986457347, 'epoch': 0.12}
{'loss': 0.5928, 'grad_norm': 0.0, 'learning_rate': 0.00019212132420935824, 'num_tokens': 5242880.0, 'mean_token_accuracy': 0.19343482479453086, 'epoch': 0.12}
{'loss': 0.5725, 'grad_norm': 0.0, 'learning_rate': 0.00019199802724862832, 'num_tokens': 5324800.0, 'mean_token_accuracy': 0.2100753802806139, 'epoch': 0.12}
{'loss': 0.6136, 'grad_norm': 0.0, 'learning_rate': 0.00019187473028789843, 'num_tokens': 5406720.0, 'mean_token_accuracy': 0.20262239128351212, 'epoch': 0.12}
{'loss': 0.4937, 'grad_norm': 0.0, 'learning_rate': 0.0001917514333271685, 'num_tokens': 5488640.0, 'mean_token_accuracy': 0.16692440658807756, 'epoch': 0.12}
{'loss': 0.5836, 'grad_norm': 0.0, 'learning_rate': 0.00019162813636643857, 'num_tokens': 5570560.0, 'mean_token_accuracy': 0.1897825114428997, 'epoch': 0.13}
{'loss': 0.6442, 'grad_norm': 0.0, 'learning_rate': 0.00019150483940570868, 'num_tokens': 5652480.0, 'mean_token_accuracy': 0.21174920946359635, 'epoch': 0.13}
{'loss': 0.591, 'grad_norm': 0.0, 'learning_rate': 0.00019138154244497874, 'num_tokens': 5734400.0, 'mean_token_accuracy': 0.1876849927008152, 'epoch': 0.13}
{'loss': 0.5286, 'grad_norm': 0.0, 'learning_rate': 0.00019125824548424882, 'num_tokens': 5816320.0, 'mean_token_accuracy': 0.15854143239557744, 'epoch': 0.13}
{'loss': 0.5251, 'grad_norm': 0.0, 'learning_rate': 0.0001911349485235189, 'num_tokens': 5898240.0, 'mean_token_accuracy': 0.18618687242269516, 'epoch': 0.13}
{'loss': 0.627, 'grad_norm': 0.0, 'learning_rate': 0.00019101165156278898, 'num_tokens': 5980160.0, 'mean_token_accuracy': 0.2297284808009863, 'epoch': 0.14}
{'loss': 0.5338, 'grad_norm': 0.0, 'learning_rate': 0.00019088835460205907, 'num_tokens': 6062080.0, 'mean_token_accuracy': 0.18517543710768222, 'epoch': 0.14}
{'loss': 0.498, 'grad_norm': 0.0, 'learning_rate': 0.00019076505764132915, 'num_tokens': 6144000.0, 'mean_token_accuracy': 0.1489638861268759, 'epoch': 0.14}
{'loss': 0.5346, 'grad_norm': 0.0, 'learning_rate': 0.00019064176068059923, 'num_tokens': 6225920.0, 'mean_token_accuracy': 0.17252637799829246, 'epoch': 0.14}
{'loss': 0.5514, 'grad_norm': 0.0, 'learning_rate': 0.00019051846371986931, 'num_tokens': 6307840.0, 'mean_token_accuracy': 0.1779634479433298, 'epoch': 0.14}
{'loss': 0.5285, 'grad_norm': 0.0, 'learning_rate': 0.0001903951667591394, 'num_tokens': 6389760.0, 'mean_token_accuracy': 0.171348025649786, 'epoch': 0.14}
{'loss': 0.5589, 'grad_norm': 0.0, 'learning_rate': 0.00019027186979840948, 'num_tokens': 6471680.0, 'mean_token_accuracy': 0.1903040623292327, 'epoch': 0.15}
{'loss': 0.6257, 'grad_norm': 0.0, 'learning_rate': 0.00019014857283767956, 'num_tokens': 6553600.0, 'mean_token_accuracy': 0.19844738095998765, 'epoch': 0.15}
{'loss': 0.5849, 'grad_norm': 0.0, 'learning_rate': 0.00019002527587694965, 'num_tokens': 6635520.0, 'mean_token_accuracy': 0.17240251675248147, 'epoch': 0.15}
{'loss': 0.6805, 'grad_norm': 0.0, 'learning_rate': 0.00018990197891621973, 'num_tokens': 6717440.0, 'mean_token_accuracy': 0.1967028256505728, 'epoch': 0.15}
{'loss': 0.6233, 'grad_norm': 0.0, 'learning_rate': 0.0001897786819554898, 'num_tokens': 6799360.0, 'mean_token_accuracy': 0.21930782347917557, 'epoch': 0.15}
{'loss': 0.6715, 'grad_norm': 0.0, 'learning_rate': 0.0001896553849947599, 'num_tokens': 6881280.0, 'mean_token_accuracy': 0.2511725783348083, 'epoch': 0.16}
{'loss': 0.5834, 'grad_norm': 0.0, 'learning_rate': 0.00018953208803402998, 'num_tokens': 6963200.0, 'mean_token_accuracy': 0.17598634883761405, 'epoch': 0.16}
{'loss': 0.5745, 'grad_norm': 0.0, 'learning_rate': 0.00018940879107330006, 'num_tokens': 7045120.0, 'mean_token_accuracy': 0.19076624885201454, 'epoch': 0.16}
{'loss': 0.4702, 'grad_norm': 0.0, 'learning_rate': 0.00018928549411257012, 'num_tokens': 7127040.0, 'mean_token_accuracy': 0.14224595464766027, 'epoch': 0.16}
{'loss': 0.5278, 'grad_norm': 0.0, 'learning_rate': 0.00018916219715184023, 'num_tokens': 7208960.0, 'mean_token_accuracy': 0.16895123701542616, 'epoch': 0.16}
{'loss': 0.5811, 'grad_norm': 0.0, 'learning_rate': 0.0001890389001911103, 'num_tokens': 7290880.0, 'mean_token_accuracy': 0.17972501255571843, 'epoch': 0.16}
{'loss': 0.5017, 'grad_norm': 0.0, 'learning_rate': 0.0001889156032303804, 'num_tokens': 7372800.0, 'mean_token_accuracy': 0.17597620971500874, 'epoch': 0.17}
{'loss': 0.5945, 'grad_norm': 0.0, 'learning_rate': 0.00018879230626965045, 'num_tokens': 7454720.0, 'mean_token_accuracy': 0.20678070187568665, 'epoch': 0.17}
{'loss': 0.5307, 'grad_norm': 0.0, 'learning_rate': 0.00018866900930892056, 'num_tokens': 7536640.0, 'mean_token_accuracy': 0.17588251046836376, 'epoch': 0.17}
{'loss': 0.5079, 'grad_norm': 0.0, 'learning_rate': 0.00018854571234819064, 'num_tokens': 7618560.0, 'mean_token_accuracy': 0.15392167903482915, 'epoch': 0.17}
{'loss': 0.4809, 'grad_norm': 0.0, 'learning_rate': 0.0001884224153874607, 'num_tokens': 7700480.0, 'mean_token_accuracy': 0.15548441074788572, 'epoch': 0.17}
{'loss': 0.5709, 'grad_norm': 0.0, 'learning_rate': 0.00018829911842673078, 'num_tokens': 7782400.0, 'mean_token_accuracy': 0.17068324536085128, 'epoch': 0.18}
{'loss': 0.5343, 'grad_norm': 0.0, 'learning_rate': 0.0001881758214660009, 'num_tokens': 7864320.0, 'mean_token_accuracy': 0.18049078658223153, 'epoch': 0.18}
{'loss': 0.5607, 'grad_norm': 0.0, 'learning_rate': 0.00018805252450527094, 'num_tokens': 7946240.0, 'mean_token_accuracy': 0.17365149408578873, 'epoch': 0.18}
{'loss': 0.5244, 'grad_norm': 0.0, 'learning_rate': 0.00018792922754454103, 'num_tokens': 8028160.0, 'mean_token_accuracy': 0.15659672245383263, 'epoch': 0.18}
{'loss': 0.5608, 'grad_norm': 0.0, 'learning_rate': 0.0001878059305838111, 'num_tokens': 8110080.0, 'mean_token_accuracy': 0.21228218786418437, 'epoch': 0.18}
{'loss': 0.5843, 'grad_norm': 0.0, 'learning_rate': 0.00018768263362308122, 'num_tokens': 8192000.0, 'mean_token_accuracy': 0.17982323989272117, 'epoch': 0.18}
